TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME_WIN,HOME
GSW,2017-06-12,GSW vs. CLE,1,241,129,46,90,0.511,14,38,0.368,23,28,0.821,13,29,42,27,8,2,13,24,9.0,1,1
CLE,2017-06-12,CLE @ GSW,0,240,120,47,88,0.534,11,24,0.458,15,23,0.652,12,28,40,22,6,5,14,22,-9.0,0,0
CLE,2017-06-09,CLE vs. GSW,1,240,137,46,87,0.529,24,45,0.533,21,31,0.677,11,30,41,27,6,3,11,24,19.0,1,1
GSW,2017-06-09,GSW @ CLE,0,241,116,39,87,0.448,11,39,0.282,27,36,0.75,16,24,40,26,5,6,12,27,-19.0,0,0
CLE,2017-06-07,CLE vs. GSW,0,240,113,40,90,0.444,12,44,0.273,21,25,0.84,10,27,37,17,9,3,12,25,-5.0,0,1
GSW,2017-06-07,GSW @ CLE,1,241,118,40,83,0.482,16,33,0.485,22,24,0.917,8,36,44,29,8,4,18,28,5.0,0,0
GSW,2017-06-04,GSW vs. CLE,1,240,132,46,89,0.517,18,43,0.419,22,24,0.917,10,43,53,34,5,7,20,19,19.0,1,1
CLE,2017-06-04,CLE @ GSW,0,239,113,45,100,0.45,8,29,0.276,15,19,0.789,10,31,41,27,15,1,9,18,-19.0,0,0
GSW,2017-06-01,GSW vs. CLE,1,238,113,45,106,0.425,12,33,0.364,11,16,0.688,14,36,50,31,12,3,4,24,22.0,1,1
CLE,2017-06-01,CLE @ GSW,0,240,91,30,86,0.349,11,31,0.355,20,25,0.8,15,44,59,15,0,6,20,23,-22.0,0,0
CLE,2017-05-25,CLE @ BOS,1,240,135,48,85,0.565,19,41,0.463,20,24,0.833,6,32,38,24,13,5,11,21,33.0,0,0
BOS,2017-05-25,BOS vs. CLE,0,240,102,37,86,0.43,11,30,0.367,17,23,0.739,12,27,39,20,7,5,18,23,-33.0,0,1
CLE,2017-05-23,CLE vs. BOS,1,238,112,44,74,0.595,10,22,0.455,14,17,0.824,4,33,37,23,5,4,14,16,13.0,1,1
BOS,2017-05-23,BOS @ CLE,0,240,99,35,79,0.443,10,31,0.323,19,20,0.95,7,22,29,26,7,2,12,15,-13.0,0,0
GSW,2017-05-22,GSW @ SAS,1,240,129,48,86,0.558,14,39,0.359,19,25,0.76,5,48,53,30,7,3,17,25,14.0,0,0
SAS,2017-05-22,SAS vs. GSW,0,240,115,41,98,0.418,8,25,0.32,25,32,0.781,12,30,42,33,14,4,8,20,-14.0,0,1
BOS,2017-05-21,BOS @ CLE,1,239,111,42,91,0.462,18,40,0.45,9,12,0.75,11,27,38,28,10,3,9,23,3.0,0,0
CLE,2017-05-21,CLE vs. BOS,0,240,108,32,70,0.457,16,39,0.41,28,36,0.778,11,35,46,21,5,4,15,11,-3.0,0,1
SAS,2017-05-20,SAS vs. GSW,0,240,108,44,93,0.473,5,21,0.238,15,25,0.6,15,31,46,22,10,3,15,21,-12.0,0,1
GSW,2017-05-20,GSW @ SAS,1,241,120,46,84,0.548,11,27,0.407,17,22,0.773,9,33,42,23,12,6,21,23,12.0,0,0
BOS,2017-05-19,BOS vs. CLE,0,241,86,32,86,0.372,8,27,0.296,14,15,0.933,10,29,39,23,7,4,20,19,-44.0,0,1
CLE,2017-05-19,CLE @ BOS,1,241,130,48,85,0.565,19,39,0.487,15,23,0.652,9,36,45,28,10,6,12,17,44.0,0,0
CLE,2017-05-17,CLE @ BOS,1,240,117,39,81,0.481,11,31,0.355,28,35,0.8,12,32,44,21,9,2,8,17,13.0,0,0
BOS,2017-05-17,BOS vs. CLE,0,240,104,41,88,0.466,12,38,0.316,10,18,0.556,13,27,40,33,4,1,14,26,-13.0,0,1
